doc_id,premise,hypothesis,true_label,llada_prediction,llama_prediction,llada_correct,llama_correct,llada_margin,llama_margin,llada_confidence,llama_confidence,premise_length,hypothesis_length,agreement,llada_advantage,llama_advantage
10,"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.","Go downwards to one of the gates, all of which will lead you into the cathedral.",contradiction,contradiction,entailment,True,False,0.0625,-0.375,0.0625,0.375,203,80,False,True,False
12,see now in a situation like that the boys are only sixteen years old and they were sexually involved with her and i think like at that particular point she was twenty three you know so she wasn't really that much older than them and being a boy at that age i think that they're very um you know let's face it that's at a point in your life when you you're just starting to realize all the things of life,Everyone involved was the same age.,contradiction,contradiction,entailment,True,False,0.875,-0.375,0.875,0.375,403,35,False,True,False
16,so i have to find a way to supplement that,I need a way to add something extra.,entailment,entailment,neutral,True,False,1.375,-0.1875,1.375,0.1875,42,36,False,True,False
39,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.",It's impossible to have a plate hand-painted to your own design in Hong Kong.,contradiction,contradiction,entailment,True,False,1.1328125,-0.25,1.1328125,0.25,99,77,False,True,False
42,"While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive.",Democracies probably won't go to war unless someone attacks them on their soil,entailment,entailment,contradiction,True,False,0.375,-0.875,0.375,0.875,144,78,False,True,False
51,He hadn't seen even pictures of such things since the few silent movies run in some of the little art theaters.,He had recently seen pictures depicting those things.,contradiction,contradiction,entailment,True,False,0.125,-0.74609375,0.125,0.74609375,111,53,False,True,False
63,the net cost of operations.,The gross cost.,contradiction,contradiction,entailment,True,False,0.125,0.0,0.125,0.0,27,15,False,True,False
74,"Do you think Mrs. Inglethorp made a will leaving all her money to Miss Howard? I asked in a low voice, with some curiosity. ",I yelled at the top of my lungs.,contradiction,contradiction,entailment,True,False,0.6875,-0.3046875,0.6875,0.3046875,124,32,False,True,False
80,Justice Kennedy does not care what law librarians across the country do with all the Supreme Court Reporters from 1790 through 1998.,Justice Kennedy doesn't care if the Supreme Court Reporters from 1790 to 1998 are thrown away.,entailment,entailment,contradiction,True,False,0.25,-0.375,0.25,0.375,132,94,False,True,False
81,The entire city was surrounded by open countryside with a scattering of small villages.,The whole countryside is scattered with small villages. ,entailment,entailment,contradiction,True,False,0.375,-0.125,0.375,0.125,87,56,False,True,False
92,if the United States had used full conventional power.,The United States has no power to use.,contradiction,contradiction,neutral,True,False,0.75,0.0,0.75,0.0,54,38,False,True,False
109,"This is especially true on Menorca, where cold winter winds limit the season's length.","This is especially untrue on Menorca, where warm summer weather extends the season's length.",contradiction,contradiction,entailment,True,False,0.625,-0.375,0.625,0.375,86,92,False,True,False
110,"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could save more than it invested in the 1980's and 90's.,contradiction,contradiction,entailment,True,False,0.625,0.0,0.625,0.0,117,63,False,True,False
126,"However, in the off-field (sentimental) tournament, the Falcons and Jets have more appealing story lines.",The Jets and Falcons have boring stories.,contradiction,contradiction,entailment,True,False,0.875,-0.125,0.875,0.125,105,41,False,True,False
137,"There's only one thing for me to do.""",There's a few things left for me to do.,contradiction,contradiction,entailment,True,False,0.125,-0.25,0.125,0.25,37,39,False,True,False
150,"The sooner we strike the better."" He turned to Tuppence.",He convinced Tuppence to hold off on their action plan. ,contradiction,contradiction,entailment,True,False,0.125,0.0,0.125,0.0,56,56,False,True,False
158,"The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.",The WP runs a piece outside reporting ,contradiction,contradiction,entailment,True,False,0.7578125,-0.375,0.7578125,0.375,211,38,False,True,False
160,"For big Raj-buffs, the supreme example of Indo-Gothic style is the Victoria Terminus, affectionately abbreviated to VT nowadays, once the railway station that launched adventures inland, now handling mostly suburban traffic.",The Victoria Terminus is still the main departure point for travelers heading deeper into the country.,contradiction,contradiction,entailment,True,False,1.625,-0.25390625,1.625,0.25390625,224,102,False,True,False
167,The Tunnel of Eupalinos can be explored but it's not for the claustrophobic.,Claustrophobics will not enjoy the tunnel of Eupalinos.,entailment,entailment,contradiction,True,False,1.3828125,-0.25,1.3828125,0.25,76,55,False,True,False
172,"By then, the program had added Carroll and Grayson counties and the city of Galax and had five attorneys.",The program had only one single attorney.,contradiction,contradiction,entailment,True,False,1.25,-0.375,1.25,0.375,105,41,False,True,False
183,"We hate them because they are smarter, or more studious, or more focused than we are.",We hate them out of jealousy for being smarter than us. ,entailment,entailment,contradiction,True,False,0.625,-0.125,0.625,0.125,85,56,False,True,False
191,of course you could annex Cuba but they wouldn't like that a bit,Annexing Cuba is a great idea.,contradiction,contradiction,entailment,True,False,0.5,0.0,0.5,0.0,64,30,False,True,False
207,well i think i got to agree with you there,I could not agree with you.,contradiction,contradiction,entailment,True,False,0.25,-1.125,0.25,1.125,42,27,False,True,False
212,"There are no shares of a stock that might someday come back, just piles of options as worthless as those shares of Cook's American Business Alliance.",Those shares of stocks will never come back.,entailment,entailment,contradiction,True,False,0.125,-0.5,0.125,0.5,149,44,False,True,False
221,well that's uh i agree with you there i mean he didn't have the surrounding cast that Montana had there's no doubt about that,I don't agree when you say that he didn't have as much support as Montana.,contradiction,contradiction,entailment,True,False,0.625,-0.75,0.625,0.75,125,74,False,True,False
223,There are many such at the present time.,There are none at all.,contradiction,contradiction,entailment,True,False,0.125,0.0,0.125,0.0,40,22,False,True,False
