doc_id,question,choices,correct_answer,llada_prediction,llama_prediction,llada_correct,llama_correct,llada_margin,llama_margin,llada_confidence,llama_confidence,question_length,num_choices,agreement,llada_advantage,llama_advantage
0,"Q: Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? 
  choice: Find somewhere to go
  choice: Go home and see Riley
  choice: Make a new plan
A:","['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",Find somewhere to go,Find somewhere to go,Find somewhere to go,True,True,2.7212757915258408,1.03125,2.7212757915258408,1.03125,199,3,True,False,False
1,"Q: Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? 
  choice: Incredulous
  choice: Like a person who was unable to help
  choice: Sympathetic
A:","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",Sympathetic,Like a person who was unable to help,Sympathetic,False,True,-4.635362189263105,1.01953125,4.635362189263105,1.01953125,261,3,False,False,True
2,"Q: Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? 
  choice: Get petitions signed
  choice: Live longer
  choice: Write new laws
A:","['Write new laws', 'Get petitions signed', 'Live longer']",Get petitions signed,Get petitions signed,Get petitions signed,True,True,1.5459693372249603,1.09375,1.5459693372249603,1.09375,206,3,True,False,False
3,"Q: Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? 
  choice: Happy that he doesn't need to do the cooking on the trip
  choice: Horrible that he let his friends down on the camping trip
  choice: Very proud and accomplished about the camping trip
A:","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",Horrible that he let his friends down on the camping trip,Horrible that he let his friends down on the camping trip,Horrible that he let his friends down on the camping trip,True,True,8.385654360055923,0.78125,8.385654360055923,0.78125,327,3,True,False,False
4,"Q: Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? 
  choice: A very aggressive and talkative person
  choice: A very passive person
  choice: A very quiet person
A:","['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",A very aggressive and talkative person,A very aggressive and talkative person,A very aggressive and talkative person,True,True,5.556026436388493,1.53125,5.556026436388493,1.53125,221,3,True,False,False
5,"Q: Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? 
  choice: Annoyed at Riley's response
  choice: Rude
  choice: Smug at knowing the answer
A:","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",Rude,Annoyed at Riley's response,Annoyed at Riley's response,False,False,-1.739353522658348,-1.4453125,1.739353522658348,1.4453125,183,3,True,False,False
6,"Q: Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? 
  choice: Because it looked good
  choice: Because it was unhealthy
  choice: Start an exercise regimen
A:","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",Start an exercise regimen,Because it was unhealthy,Because it was unhealthy,False,False,-7.585356712341309,-0.640625,7.585356712341309,0.640625,194,3,True,False,False
7,"Q: Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? 
  choice: Clean and wax her legs
  choice: Drive that sports car
  choice: Show off his new sports car
A:","['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",Show off his new sports car,Show off his new sports car,Drive that sports car,True,False,4.219020485877991,-0.34375,4.219020485877991,0.34375,209,3,False,True,False
8,"Q: Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? 
  choice: Get a blanket from the closet
  choice: Open all the windows
  choice: Turn on the air conditioner
A:","['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",Get a blanket from the closet,Get a blanket from the closet,Get a blanket from the closet,True,True,8.50280836969614,0.734375,8.50280836969614,0.734375,214,3,True,False,False
9,"Q: Austin knew Quinn intimately and they slept together many times. Why did Austin do this? 
  choice: Ask Quinn on a date
  choice: Found QUinn attractive
  choice: Hated Quinn
A:","['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",Found QUinn attractive,Found QUinn attractive,Ask Quinn on a date,True,False,4.241102509200573,-2.90625,4.241102509200573,2.90625,180,3,False,True,False
10,"Q: Carson kissed Alex gently on the cheek and asked to go to dinner. What will happen to Carson? 
  choice: Go on a date
  choice: Have a romantic meal
  choice: Loved
A:","['Have a romantic meal', 'Go on a date', 'Loved']",Go on a date,Go on a date,Go on a date,True,True,2.631232872605324,1.3125,2.631232872605324,1.3125,170,3,True,False,False
11,"Q: Alex walked Robin towards the execution chamber for her last meal. Why did Alex do this? 
  choice: Release her
  choice: So Robin can eat
  choice: Work at the jail
A:","['Work at the jail', 'So Robin can eat', 'Release her']",Work at the jail,So Robin can eat,Release her,False,False,-9.277813896536827,-3.109375,9.277813896536827,3.109375,171,3,True,False,False
12,"Q: Carson was excited to wake up to attend school. Why did Carson do this? 
  choice: Go to bed early
  choice: Just say hello to friends
  choice: Take the big test
A:","['Take the big test', 'Just say hello to friends', 'Go to bed early']",Just say hello to friends,Just say hello to friends,Go to bed early,True,False,0.8443540185689926,-2.2890625,0.8443540185689926,2.2890625,168,3,False,True,False
13,"Q: Taylor proved Carson's point about who was the stronger wrestler of them all. What will Taylor want to do next? 
  choice: Be good at wrestling
  choice: Bored
  choice: Good
A:","['Be good at wrestling', 'Bored', 'Good']",Be good at wrestling,Be good at wrestling,Be good at wrestling,True,True,3.983295127749443,0.71875,3.983295127749443,0.71875,180,3,True,False,False
14,"Q: Sydney went trick or treating and the others joined him happily. What will Others want to do next? 
  choice: Did this to get candy
  choice: Get candy
  choice: Go home
A:","['Go home', 'Did this to get candy', 'Get candy']",Get candy,Get candy,Did this to get candy,True,False,3.0563776567578316,-0.3125,3.0563776567578316,0.3125,175,3,False,True,False
15,"Q: Sasha set their trash on fire to get rid of it quickly. How would you describe Sasha? 
  choice: Dirty
  choice: Inconsiderate
  choice: Very efficient
A:","['Dirty', 'Very efficient', 'Inconsiderate']",Very efficient,Inconsiderate,Inconsiderate,False,False,-0.8127638399600983,-0.09375,0.8127638399600983,0.09375,157,3,True,False,False
16,"Q: Robin dried up the paper and lit it on fire and it blew away. How would Robin feel afterwards? 
  choice: Excited to see what comes next
  choice: Gone
  choice: Happy their only photo blew away
A:","['Happy their only photo blew away', 'Excited to see what comes next', 'Gone']",Excited to see what comes next,Excited to see what comes next,Excited to see what comes next,True,True,0.1581551730632782,0.4375,0.1581551730632782,0.4375,200,3,True,False,False
17,"Q: Skylar went camping with friends and found the best campsite. What does Skylar need to do before this? 
  choice: Get ready to go on a solo trip
  choice: Look at a map of the campground
  choice: Tell her friends she wasn't interested
A:","['Get ready to go on a solo trip', 'Look at a map of the campground', ""Tell her friends she wasn't interested""]",Look at a map of the campground,Look at a map of the campground,Get ready to go on a solo trip,True,False,6.8804227113723755,-0.296875,6.8804227113723755,0.296875,241,3,False,True,False
18,"Q: Due to his car breaking down, Robin decided to ride with Jan's friends to school. What will Robin want to do next? 
  choice: Arrive on time to school
  choice: Avoid missing class
  choice: Fix his car
A:","['Fix his car', 'Avoid missing class', 'Arrive on time to school']",Fix his car,Arrive on time to school,Arrive on time to school,False,False,-3.4716648012399673,-2.2578125,3.4716648012399673,2.2578125,208,3,True,False,False
19,"Q: Cameron took Kai's compliment seriously after the ballgame ended. How would you describe Cameron? 
  choice: Happy
  choice: Humble and not too proud
  choice: Proud
A:","['Humble and not too proud', 'Proud', 'Happy']",Humble and not too proud,Humble and not too proud,Humble and not too proud,True,True,10.25520445406437,0.15625,10.25520445406437,0.15625,171,3,True,False,False
20,"Q: Jordan taught art in elementary schools and was really great with his students. How would the parents feel as a result? 
  choice: Concerned that Jordan will leave
  choice: Inspired to make their own art
  choice: The art teacher
A:","['The art teacher', 'Concerned that Jordan will leave', 'Inspired to make their own art']",Concerned that Jordan will leave,Concerned that Jordan will leave,The art teacher,True,False,4.532535579055548,-1.046875,4.532535579055548,1.046875,236,3,False,True,False
21,"Q: Riley and the others were the best of friends and always supported each other. What will happen to Others? 
  choice: The others will be dejected
  choice: The others will be isolated
  choice: The others will offer support
A:","['The others will be dejected', 'The others will offer support', 'The others will be isolated']",The others will offer support,The others will offer support,The others will be dejected,True,False,4.577674686908722,-0.8828125,4.577674686908722,0.8828125,229,3,False,True,False
22,"Q: Taylor gave help to a friend who was having trouble keeping up with their bills. What will their friend want to do next? 
  choice: Help the friend find a higher paying job
  choice: Pay some of their late employees
  choice: Thank Taylor for the generosity
A:","['Help the friend find a higher paying job', 'Thank Taylor for the generosity', 'Pay some of their late employees']",Thank Taylor for the generosity,Thank Taylor for the generosity,Help the friend find a higher paying job,True,False,3.221834007650614,-2.3515625,3.221834007650614,2.3515625,263,3,False,True,False
23,"Q: Riley had twisted their leg and began to hurt so bad that they could not walk. What does Riley need to do before this? 
  choice: Lie down
  choice: Run
  choice: Sit and relax
A:","['Lie down', 'Run', 'Sit and relax']",Run,Lie down,Lie down,False,False,-4.636754617094994,-2.98828125,4.636754617094994,2.98828125,182,3,True,False,False
24,"Q: Carson was at a friend's house but suddenly announced they needed to go home. Why did Carson do this? 
  choice: Called a cab
  choice: Caught a bus
  choice: Forgot to feed the dog
A:","['Caught a bus', 'Called a cab', 'Forgot to feed the dog']",Forgot to feed the dog,Forgot to feed the dog,Called a cab,True,False,0.1460534632205963,-1.625,0.1460534632205963,1.625,187,3,False,True,False
25,"Q: Taylor taught math in the schools after studying to be a teacher for four years. What does Taylor need to do before this? 
  choice: Get a certificate
  choice: Teach small children
  choice: Work in a school
A:","['Get a certificate', 'Teach small children', 'Work in a school']",Get a certificate,Get a certificate,Get a certificate,True,True,5.293630056083202,1.984375,5.293630056083202,1.984375,214,3,True,False,False
