doc_id,question,choices,correct_answer,llada_prediction,llama_prediction,llada_correct,llama_correct,question_length,num_choices,agreement,llada_advantage,llama_advantage
0,"Q: Tracy didn't go home that evening and resisted Riley's attacks. What does Tracy need to do before this? 
  choice: Find somewhere to go
  choice: Go home and see Riley
  choice: Make a new plan
A:","['Make a new plan', 'Go home and see Riley', 'Find somewhere to go']",Find somewhere to go,"['-6.760877549648285', '0.0']","['-3.296875', 'False']",False,False,199,3,True,False,False
1,"Q: Sydney walked past a homeless woman asking for change but did not have any money they could give to her. Sydney felt bad afterwards. How would you describe Sydney? 
  choice: Incredulous
  choice: Like a person who was unable to help
  choice: Sympathetic
A:","['Sympathetic', 'Like a person who was unable to help', 'Incredulous']",Sympathetic,"['-4.948838174343109', '0.0']","['-0.99609375', 'True']",False,False,261,3,True,False,False
2,"Q: Sasha protected the patients' rights by making new laws regarding cancer drug trials. What will patients want to do next? 
  choice: Get petitions signed
  choice: Live longer
  choice: Write new laws
A:","['Write new laws', 'Get petitions signed', 'Live longer']",Get petitions signed,"['-6.8095638155937195', '0.0']","['-3.046875', 'False']",False,False,206,3,True,False,False
3,"Q: Jordan was in charge of taking the food on the camping trip and left all the food at home. How would Jordan feel afterwards? 
  choice: Happy that he doesn't need to do the cooking on the trip
  choice: Horrible that he let his friends down on the camping trip
  choice: Very proud and accomplished about the camping trip
A:","['Horrible that he let his friends down on the camping trip', ""Happy that he doesn't need to do the cooking on the trip"", 'Very proud and accomplished about the camping trip']",Horrible that he let his friends down on the camping trip,"['-1.9325247257947922', '0.0']","['-2.5625', 'False']",False,False,327,3,True,False,False
4,"Q: Kendall opened their mouth to speak and what came out shocked everyone. How would you describe Kendall? 
  choice: A very aggressive and talkative person
  choice: A very passive person
  choice: A very quiet person
A:","['A very quiet person', 'A very passive person', 'A very aggressive and talkative person']",A very aggressive and talkative person,"['-9.661688089370728', '0.0']","['-3.546875', 'False']",False,False,221,3,True,False,False
5,"Q: Aubrey never told Riley the answer and Riley was angry. How would you describe Aubrey? 
  choice: Annoyed at Riley's response
  choice: Rude
  choice: Smug at knowing the answer
A:","['Rude', 'Smug at knowing the answer', ""Annoyed at Riley's response""]",Rude,"['-3.789249509572983', '0.0']","['-3.109375', 'False']",False,False,183,3,True,False,False
6,"Q: Kendall's dog was overweight so they walked it five miles. Why did Kendall do this? 
  choice: Because it looked good
  choice: Because it was unhealthy
  choice: Start an exercise regimen
A:","['Because it was unhealthy', 'Start an exercise regimen', 'Because it looked good']",Start an exercise regimen,"['-1.1553404331207275', '0.0']","['-1.734375', 'True']",False,False,194,3,True,False,False
7,"Q: Kendall got a new sports car and could not wait to show friends. What will Kendall want to do next? 
  choice: Clean and wax her legs
  choice: Drive that sports car
  choice: Show off his new sports car
A:","['Drive that sports car', 'Show off his new sports car', 'Clean and wax her legs']",Show off his new sports car,"['-6.681025326251984', '0.0']","['-2.078125', 'True']",False,False,209,3,True,False,False
8,"Q: Riley layered down their arms with a blanket to keep warm. What does Riley need to do before this? 
  choice: Get a blanket from the closet
  choice: Open all the windows
  choice: Turn on the air conditioner
A:","['Turn on the air conditioner', 'Open all the windows', 'Get a blanket from the closet']",Get a blanket from the closet,"['-10.206761658191681', '0.0']","['-4.65625', 'False']",False,False,214,3,True,False,False
9,"Q: Austin knew Quinn intimately and they slept together many times. Why did Austin do this? 
  choice: Ask Quinn on a date
  choice: Found QUinn attractive
  choice: Hated Quinn
A:","['Hated Quinn', 'Found QUinn attractive', 'Ask Quinn on a date']",Found QUinn attractive,"['-8.49087119102478', '0.0']","['-5.3125', 'False']",False,False,180,3,True,False,False
